subplot,plot,INDEX,date,VI,filename
ET2,ET,NDVI,2012-05-16,-0.05227804537862539,NDVI_2012-05-16.tif
5P5,5P,NDVI,2012-05-16,-0.063389458826610026,NDVI_2012-05-16.tif
5P1,5P,NDVI,2012-05-16,-0.033937768833268253,NDVI_2012-05-16.tif
5P2,5P,NDVI,2012-05-16,-0.028033310204352204,NDVI_2012-05-16.tif
ET1,ET,NDVI,2012-05-16,-0.050170839262696415,NDVI_2012-05-16.tif
5P3,5P,NDVI,2012-05-16,-0.038439152296632528,NDVI_2012-05-16.tif
5P4,5P,NDVI,2012-05-16,-0.071231452748179436,NDVI_2012-05-16.tif
BB4,BB,NDVI,2012-05-16,-0.06560482457280159,NDVI_2012-05-16.tif
BB3,BB,NDVI,2012-05-16,-0.052866279380396008,NDVI_2012-05-16.tif
BB2,BB,NDVI,2012-05-16,-0.065767517821355301,NDVI_2012-05-16.tif
BB1,BB,NDVI,2012-05-16,-0.041177034276821046,NDVI_2012-05-16.tif
ST1,ST,NDVI,2012-05-16,-0.039015951752662661,NDVI_2012-05-16.tif
