Site,Y,Species,DBH,D1,D2,D3,D4,D5,D6,HEIGHT,BB,,
PJC,2015,PIED,2.5,0,0,0,0,0,0,1.7,Y,,
PJC,2015,PIED,2.5,0,0,0,0,0,0,0.5,N,,
PJC,2015,PIED,2.5,3.2,4.8,2.9,0,0,0,2.9,Y,,
PJC,2015,PIED,2.5,0,0,0,0,0,0,2.1,Y,,
PJC,2015,PIED,2.5,0,0,0,0,0,0,1.3,Y,,
PJC,2015,PIED,2.5,0,0,0,0,0,0,0.4,N,,
PJC,2015,PIED,2.5,0,0,0,0,0,0,2.2,Y,,
PJC,2015,PIED,2.5,0,0,0,0,0,0,1.8,Y,,
PJC,2015,PIED,2.5,0,0,0,0,0,0,1.6,Y,,
PJC,2015,PIED,2.5,0,0,0,0,0,0,2.2,Y,,
PJC,2014,PIED,2.55,0,0,0,0,0,0,1.9,Y,,
PJC,2014,PIED,2.55,0,0,0,0,0,0,2,Y,,
PJC,2014,PIED,2.6,0,0,0,0,0,0,0.6,Y,,
PJC,2014,PIED,2.6,0,0,0,0,0,0,2.4,Y,,
PJC,2014,PIED,2.6,4.6,2.65,2.65,0,0,0,2,Y,,
PJC,2014,PIED,2.6,0,0,0,0,0,0,1.1,Y,,
PJC,2014,PIED,2.6,0,0,0,0,0,0,2.4,Y,,
PJC,2014,PIED,2.6,0,0,0,0,0,0,1.7,Y,,
PJC,2014,PIED,2.6,0,0,0,0,0,0,2,Y,,
PJC,2014,PIED,2.6,0,0,0,0,0,0,1.8,Y,,
PJC,2015,PIED,2.6,0,0,0,0,0,0,1.6,Y,,
PJC,2015,PIED,2.6,0,0,0,0,0,0,0.5,N,,
PJC,2015,PIED,2.6,0,0,0,0,0,0,0.7,Y,,
PJC,2015,PIED,2.6,0,0,0,0,0,0,1.1,N,,
PJC,2015,PIED,2.6,0,0,0,0,0,0,1.2,N,,
PJC,2015,PIED,2.6,0,0,0,0,0,0,1.2,N,,
PJC,2015,PIED,2.6,0,0,0,0,0,0,0.5,N,,
PJC,2015,PIED,2.6,0,0,0,0,0,0,0.9,Y,,
PJC,2015,PIED,2.6,0,0,0,0,0,0,1.7,Y,,
PJC,2014,PIED,2.7,0,0,0,0,0,0,2,Y,,
PJC,2014,PIED,2.7,3.2,0,0,0,0,0,2.4,Y,,
PJC,2014,PIED,2.7,0,0,0,0,0,0,2.1,Y,,
PJC,2014,PIED,2.7,1.6,1.2,0,0,0,0,2,Y,,
PJC,2014,PIED,2.7,0,0,0,0,0,0,2.3,Y,,
PJC,2014,PIED,2.7,0,0,0,0,0,0,2.2,Y,,
PJC,2014,PIED,2.7,3.8,2.4,0,0,0,0,1.7,Y,,
PJC,2014,PIED,2.7,0,0,0,0,0,0,1.9,Y,,
PJC,2014,PIED,2.7,1.85,0,0,0,0,0,2.1,Y,,
PJC,2014,PIED,2.7,1.8,2.5,2.4,0,0,0,1.8,Y,,
PJC,2014,PIED,2.7,0,0,0,0,0,0,1.4,Y,,
PJC,2014,PIED,2.7,0,0,0,0,0,0,2.2,Y,,
PJC,2014,PIED,2.7,1.8,0,0,0,0,0,2.1,Y,,
PJC,2014,PIED,2.7,0,0,0,0,0,0,2.6,Y,,
PJC,2015,PIED,2.7,2,0,0,0,0,0,2.2,Y,,
PJC,2015,PIED,2.7,0,0,0,0,0,0,0.6,Y,,
PJC,2015,PIED,2.7,0,0,0,0,0,0,2,N,,
PJC,2015,PIED,2.7,0,0,0,0,0,0,2.1,Y,,
